fake\result_10.jpg0.jpg 0.99999857
fake\result_102.jpg0.jpg 0.99998534
fake\result_122.jpg0.jpg 0.99927384
fake\result_131.jpg0.jpg 0.99779356
fake\result_141.jpg0.jpg 0.99999523
fake\result_146.jpg0.jpg 0.9999536
fake\result_169.jpg0.jpg 0.99999976
fake\result_179.jpg0.jpg 0.9999995
fake\result_186 (2).jpg0.jpg 0.9999796
fake\result_210.jpg0.jpg 0.9999999
fake\result_216.jpg0.jpg 0.99993145
fake\result_240.jpg0.jpg 0.81599
fake\result_264.jpg0.jpg 0.93374527
fake\result_275.jpg0.jpg 0.9990024
fake\result_276.jpg0.jpg 0.99990344
fake\result_285.jpg0.jpg 0.7150927
fake\result_309.jpg0.jpg 0.9999882
fake\result_31.jpg0.jpg 0.986571
fake\result_325.jpg0.jpg 0.99990773
fake\result_334.jpg0.jpg 0.9963781
fake\result_34.jpg0.jpg 0.9998659
fake\result_371.jpg0.jpg 0.9978902
fake\result_384.jpg0.jpg 0.99983156
fake\result_42.jpg0.jpg 0.9991441
fake\result_427.jpg0.jpg 0.99979347
fake\result_433.jpg0.jpg 1.0
fake\result_436.jpg0.jpg 0.99999714
fake\result_458.jpg0.jpg 0.9999999
fake\result_460.jpg0.jpg 1.0
fake\result_463.jpg0.jpg 1.0
fake\result_471.jpg0.jpg 1.0
fake\result_499.jpg0.jpg 0.99868494
fake\result_5.jpg0.jpg 0.9999999
fake\result_504.jpg0.jpg 0.9999964
fake\result_555.jpg0.jpg 0.9999995
fake\result_569.jpg0.jpg 0.9800423
fake\result_596.jpg0.jpg 1.0
fake\result_6.jpg0.jpg 0.99999905
fake\result_604.jpg0.jpg 0.99978405
fake\result_648.jpg0.jpg 0.9999758
fake\result_67.jpg0.jpg 0.99999964
fake\result_7 (2).jpg0.jpg 0.99999905
fake\result_7.jpg0.jpg 1.0
fake\result_703.jpg0.jpg 0.9998764
fake\result_71.jpg0.jpg 0.99964535
fake\result_717.jpg0.jpg 1.0
fake\result_73.jpg0.jpg 0.9998876
fake\result_768.jpg0.jpg 0.84842837
fake\result_788.jpg0.jpg 0.99459654
fake\result_85.jpg0.jpg 0.9995308
real\131.jpg 0.99939466
real\161.jpg 0.99999964
real\194.jpg 0.999092
real\223.jpg 1.0
real\25 (2).jpg 0.9999999
real\25.jpg 0.918185
real\399.jpg 0.99636734
real\405.jpg 1.0
real\460.jpg 0.7089217
real\479.jpg 1.0
real\499 (2).jpg 1.0
real\499.jpg 0.99999976
real\502.jpg 0.9999994
real\504 (2).jpg 0.9831697
real\504.jpg 0.46725726
real\513.jpg 0.9999993
real\516.jpg 0.98401535
real\524 (2).jpg 0.99809223
real\524.jpg 0.8603216
real\525.jpg 1.0
real\556.jpg 0.751811
real\577.jpg 1.0
real\584.jpg 0.99996376
real\590.jpg 0.9999974
real\591.jpg 0.1546195
real\596.jpg 0.99980634
real\613.jpg 1.0
real\635.jpg 0.99999964
real\640.jpg 0.9999473
real\648.jpg 0.9999988
real\670.jpg 0.9999746
real\680.jpg 0.99999976
real\696.jpg 1.0
real\701.jpg 0.9979372
real\706.jpg 0.9992768
real\719.jpg 0.9999999
real\728.jpg 1.0
real\73 (2).jpg 0.821436
real\73.jpg 0.9999956
real\743.jpg 0.90387696
real\747.jpg 0.9999981
real\749 (2).jpg 1.0
real\749.jpg 0.9999932
real\788.jpg 0.7556002
real\795 (2).jpg 0.9999993
real\795 (3).jpg 1.0
real\795.jpg 0.99451953
real\796.jpg 0.9999863
real\797.jpg 0.9999728
real\800.jpg 0.9999989
